FID,ANSI_ST,ANSI_CNTY,ANSI_ST_CO,CNTY_NAME,CFS07_AREA,CFS12_AREA,CFS07_TYPE,CFS12_TYPE,CFS07DDGEO,CFS07GEOID,CFS12GEOID,CFS07_NAME,CFS12_NAME
0,15,001,15001,Hawaii County,99999,99999,R,R,159,E330000US1599999999,E330000US1599999999,Remainder of Hawaii,Remainder of Hawaii
1,05,027,05027,Columbia County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
2,38,011,38011,Bowman County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
3,36,031,36031,Essex County,99999,99999,R,R,369,E330000US3699999999,E330000US3699999999,Remainder of New York,Remainder of New York
4,35,007,35007,Colfax County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
5,30,089,30089,Sanders County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
6,30,031,30031,Gallatin County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
7,35,037,35037,Quay County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
8,38,037,38037,Grant County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
9,36,111,36111,Ulster County,408,408,C,C,363,E330000US3640800000,E330000US3640800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NY Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)"
10,38,079,38079,Rolette County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
11,46,039,46039,Deuel County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
12,41,007,41007,Clatsop County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
13,46,043,46043,Douglas County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
14,49,025,49025,Kane County,99999,99999,R,R,499,E330000US4999999999,E330000US4999999999,Remainder of Utah,Remainder of Utah
15,46,115,46115,Spink County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
16,53,021,53021,Franklin County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
17,49,009,49009,Daggett County,99999,99999,R,R,499,E330000US4999999999,E330000US4999999999,Remainder of Utah,Remainder of Utah
18,46,137,46137,Ziebach County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
19,53,061,53061,Snohomish County,500,500,C,C,531,E330000US5350000000,E330000US5350000000,"Seattle-Tacoma-Olympia, WA CFS Area","Seattle-Tacoma, WA  CFS Area"
20,53,051,53051,Pend Oreille County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
21,05,087,05087,Madison County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
22,16,057,16057,Latah County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
23,53,065,53065,Stevens County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
24,46,117,46117,Stanley County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
25,53,037,53037,Kittitas County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
26,16,087,16087,Washington County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
27,46,071,46071,Jackson County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
28,41,037,41037,Lake County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
29,38,025,38025,Dunn County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
30,46,105,46105,Perkins County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
31,05,109,05109,Pike County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
32,38,059,38059,Morton County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
33,35,059,35059,Union County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
34,35,035,35035,Otero County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
35,36,105,36105,Sullivan County,99999,99999,R,R,369,E330000US3699999999,E330000US3699999999,Remainder of New York,Remainder of New York
36,38,083,38083,Sheridan County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
37,30,057,30057,Madison County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
38,05,013,05013,Calhoun County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
39,05,079,05079,Lincoln County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
40,16,069,16069,Nez Perce County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
41,30,083,30083,Richland County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
42,16,043,16043,Fremont County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
43,16,067,16067,Minidoka County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
44,34,013,34013,Essex County,408,408,C,C,341,E330000US3440800000,E330000US3440800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NJ Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)"
45,36,015,36015,Chemung County,99999,99999,R,R,369,E330000US3699999999,E330000US3699999999,Remainder of New York,Remainder of New York
46,36,061,36061,New York County,408,408,C,C,363,E330000US3640800000,E330000US3640800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NY Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)"
47,40,091,40091,McIntosh County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
48,41,019,41019,Douglas County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
49,40,115,40115,Ottawa County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
50,40,103,40103,Noble County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
51,41,061,41061,Union County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
52,46,103,46103,Pennington County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
53,46,035,46035,Davison County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
54,46,129,46129,Walworth County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
55,49,043,49043,Summit County,482,482,C,C,491,E330000US4948200000,E330000US4948200000,"Salt Lake City-Ogden-Clearfield, UT CFS Area","Salt Lake City-Provo-Orem, UT  CFS Area"
56,53,077,53077,Yakima County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
57,53,019,53019,Ferry County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
58,36,085,36085,Richmond County,408,408,C,C,363,E330000US3640800000,E330000US3640800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NY Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)"
59,05,101,05101,Newton County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
60,36,009,36009,Cattaraugus County,160,160,C,C,362,E330000US3616000000,E330000US3616000000,"Buffalo-Niagara-Cattaraugus, NY CFS Area","Buffalo-Cheektowaga, NY  CFS Area"
61,30,041,30041,Hill County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
62,35,025,35025,Lea County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
63,38,013,38013,Burke County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
64,44,001,44001,Bristol County,39300,148,M,C,441,E330000US4499939300,E330000US4414800000,"Providence-New Bedford-Fall River, RI-MA CFS Area (RI Part)","Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (RI Part)"
65,40,015,40015,Caddo County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
66,40,099,40099,Murray County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
67,49,005,49005,Cache County,99999,99999,R,R,499,E330000US4999999999,E330000US4999999999,Remainder of Utah,Remainder of Utah
68,46,007,46007,Bennett County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
69,46,079,46079,Lake County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
70,53,005,53005,Benton County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
71,53,017,53017,Douglas County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
72,53,063,53063,Spokane County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
73,38,067,38067,Pembina County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
74,05,005,05005,Baxter County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
75,40,135,40135,Sequoyah County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
76,16,053,16053,Jerome County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
77,40,129,40129,Roger Mills County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
78,40,059,40059,Harper County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
79,30,033,30033,Garfield County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
80,40,083,40083,Logan County,416,416,C,C,401,E330000US4041600000,E330000US4041600000,"Oklahoma City-Shawnee, OK CFS Area","Oklahoma City-Shawnee, OK  CFS Area"
81,30,035,30035,Glacier County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
82,40,029,40029,Coal County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
83,40,143,40143,Tulsa County,538,538,C,C,402,E330000US4053800000,E330000US4053800000,"Tulsa-Bartlesville, OK CFS Area","Tulsa-Muskogee-Bartlesville, OK  CFS Area"
84,46,065,46065,Hughes County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
85,41,025,41025,Harney County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
86,41,067,41067,Washington County,38900,440,M,C,411,E330000US4199938900,E330000US4144000000,"Portland-Vancouver-Beaverton, OR-WA CFS Area (OR Part)","Portland-Vancouver-Salem, OR-WA  CFS Area (OR Part)"
87,46,109,46109,Roberts County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
88,46,125,46125,Turner County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
89,53,047,53047,Okanogan County,99999,99999,R,R,539,E330000US5399999999,E330000US5399999999,Remainder of Washington,Remainder of Washington
90,16,015,16015,Boise County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
91,30,073,30073,Pondera County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
92,16,007,16007,Bear Lake County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
93,38,039,38039,Griggs County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
94,05,149,05149,Yell County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
95,30,079,30079,Prairie County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
96,36,055,36055,Monroe County,464,464,C,C,364,E330000US3646400000,E330000US3646400000,"Rochester-Batavia-Seneca Falls, NY CFS Area","Rochester-Batavia-Seneca Falls, NY  CFS Area"
97,38,087,38087,Slope County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
98,36,059,36059,Nassau County,408,408,C,C,363,E330000US3640800000,E330000US3640800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NY Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)"
99,38,097,38097,Traill County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
100,40,053,40053,Grant County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
101,40,145,40145,Wagoner County,538,538,C,C,402,E330000US4053800000,E330000US4053800000,"Tulsa-Bartlesville, OK CFS Area","Tulsa-Muskogee-Bartlesville, OK  CFS Area"
102,41,003,41003,Benton County,99999,440,R,C,419,E330000US4199999999,E330000US4144000000,Remainder of Oregon,"Portland-Vancouver-Salem, OR-WA  CFS Area (OR Part)"
103,41,005,41005,Clackamas County,38900,440,M,C,411,E330000US4199938900,E330000US4144000000,"Portland-Vancouver-Beaverton, OR-WA CFS Area (OR Part)","Portland-Vancouver-Salem, OR-WA  CFS Area (OR Part)"
104,46,025,46025,Clark County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
105,05,113,05113,Polk County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
106,05,023,05023,Cleburne County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
107,05,115,05115,Pope County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
108,30,017,30017,Custer County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
109,16,079,16079,Shoshone County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
110,38,061,38061,Mountrail County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
111,05,143,05143,Washington County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
112,46,053,46053,Gregory County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
113,46,073,46073,Jerauld County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
114,40,119,40119,Payne County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
115,30,069,30069,Petroleum County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
116,40,041,40041,Delaware County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
117,46,031,46031,Corson County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
118,40,079,40079,Le Flore County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
119,38,007,38007,Billings County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
120,36,043,36043,Herkimer County,99999,99999,R,R,369,E330000US3699999999,E330000US3699999999,Remainder of New York,Remainder of New York
121,16,031,16031,Cassia County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
122,22,017,22017,Caddo Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
123,22,013,22013,Bienville Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
124,22,041,22041,Franklin Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
125,46,063,46063,Harding County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
126,22,035,22035,East Carroll Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
127,46,111,46111,Sanborn County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
128,46,099,46099,Minnehaha County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
129,46,135,46135,Yankton County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
130,09,001,09001,Fairfield County,408,408,C,C,092,E330000US0940800000,E330000US0940800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (CT Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (CT Part)"
131,16,009,16009,Benewah County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
132,34,017,34017,Hudson County,408,408,C,C,341,E330000US3440800000,E330000US3440800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NJ Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)"
133,22,011,22011,Beauregard Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
134,40,105,40105,Nowata County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
135,40,109,40109,Oklahoma County,416,416,C,C,401,E330000US4041600000,E330000US4041600000,"Oklahoma City-Shawnee, OK CFS Area","Oklahoma City-Shawnee, OK  CFS Area"
136,35,055,35055,Taos County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
137,40,009,40009,Beckham County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
138,36,067,36067,Onondaga County,99999,99999,R,R,369,E330000US3699999999,E330000US3699999999,Remainder of New York,Remainder of New York
139,46,085,46085,Lyman County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
140,05,111,05111,Poinsett County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
141,22,005,22005,Ascension Parish,132,12940,C,M,221,E330000US2213200000,E330000US2299912940,"Baton Rouge-Pierre Part, LA CFS Area","Baton Rouge, LA  CFS Area"
142,05,001,05001,Arkansas County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
143,05,017,05017,Chicot County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
144,22,081,22081,Red River Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
145,22,057,22057,Lafourche Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
146,34,001,34001,Atlantic County,99999,428,R,C,349,E330000US3499999999,E330000US3442800000,Remainder of New Jersey,"Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (NJ Part)"
147,30,093,30093,Silver Bow County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
148,22,085,22085,Sabine Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
149,30,055,30055,McCone County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
150,38,069,38069,Pierce County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
151,40,149,40149,Washita County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
152,49,055,49055,Wayne County,99999,99999,R,R,499,E330000US4999999999,E330000US4999999999,Remainder of Utah,Remainder of Utah
153,34,033,34033,Salem County,428,428,C,C,342,E330000US3442800000,E330000US3442800000,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CFS Area (NJ Part)","Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (NJ Part)"
154,44,007,44007,Providence County,39300,148,M,C,441,E330000US4499939300,E330000US4414800000,"Providence-New Bedford-Fall River, RI-MA CFS Area (RI Part)","Boston-Worcester-Providence, MA-RI-NH-CT  CFS Area (RI Part)"
155,34,025,34025,Monmouth County,408,408,C,C,341,E330000US3440800000,E330000US3440800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NJ Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NJ Part)"
156,35,017,35017,Grant County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
157,38,027,38027,Eddy County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
158,05,091,05091,Miller County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
159,05,025,05025,Cleveland County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
160,09,003,09003,Hartford County,278,25540,C,M,091,E330000US0927800000,E330000US0927825540,"Hartford-West Hartford-Willimantic, CT CFS Area","Hartford-West Hartford-East Hartford, CT  CFS Area"
161,05,107,05107,Phillips County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
162,05,015,05015,Carroll County,99999,99999,R,R,050,E330000US0599999999,E330000US0599999999,Remainder of Arkansas,Remainder of Arkansas
163,40,057,40057,Harmon County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
164,53,011,53011,Clark County,99999,440,R,C,539,E330000US5399999999,E330000US5344000000,Remainder of Washington,"Portland-Vancouver-Salem, OR-WA  CFS Area (WA Part)"
165,38,019,38019,Cavalier County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
166,16,003,16003,Adams County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
167,22,061,22061,Lincoln Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
168,35,043,35043,Sandoval County,99999,99999,R,R,350,E330000US3599999999,E330000US3599999999,Remainder of New Mexico,Remainder of New Mexico
169,36,021,36021,Columbia County,104,104,C,C,361,E330000US3610400000,E330000US3610400000,"Albany-Schenectady-Amsterdam, NY CFS Area","Albany-Schenectady, NY  CFS Area"
170,22,003,22003,Allen Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
171,22,119,22119,Webster Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
172,49,053,49053,Washington County,99999,99999,R,R,499,E330000US4999999999,E330000US4999999999,Remainder of Utah,Remainder of Utah
173,22,037,22037,East Feliciana Parish,132,12940,C,M,221,E330000US2213200000,E330000US2299912940,"Baton Rouge-Pierre Part, LA CFS Area","Baton Rouge, LA  CFS Area"
174,41,041,41041,Lincoln County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
175,41,035,41035,Klamath County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
176,40,005,40005,Atoka County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
177,46,051,46051,Grant County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
178,46,123,46123,Tripp County,99999,99999,R,R,460,E330000US4699999999,E330000US4699999999,Remainder of South Dakota,Remainder of South Dakota
179,40,137,40137,Stephens County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
180,40,085,40085,Love County,99999,99999,R,R,409,E330000US4099999999,E330000US4099999999,Remainder of Oklahoma,Remainder of Oklahoma
181,36,027,36027,Dutchess County,408,408,C,C,363,E330000US3640800000,E330000US3640800000,"New York-Newark-Bridgeport, NY-NJ-CT-PA CFS Area (NY Part)","New York-Newark, NY-NJ-CT-PA  CFS Area (NY Part)"
182,38,051,38051,McIntosh County,99999,99999,R,R,380,E330000US3899999999,E330000US3899999999,Remainder of North Dakota,Remainder of North Dakota
183,30,063,30063,Missoula County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
184,22,089,22089,St. Charles Parish,406,406,C,C,223,E330000US2240600000,E330000US2240600000,"New Orleans-Metairie-Bogalusa, LA CFS Area","New Orleans-Metairie-Hammond, LA-MS  CFS Area (LA Part)"
185,34,015,34015,Gloucester County,428,428,C,C,342,E330000US3442800000,E330000US3442800000,"Philadelphia-Camden-Vineland, PA-NJ-DE-MD CFS Area (NJ Part)","Philadelphia-Reading-Camden, PA-NJ-DE-MD  CFS Area (NJ Part)"
186,30,023,30023,Deer Lodge County,99999,99999,R,R,300,E330000US3099999999,E330000US3099999999,Remainder of Montana,Remainder of Montana
187,22,059,22059,La Salle Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
188,22,021,22021,Caldwell Parish,99999,99999,R,R,229,E330000US2299999999,E330000US2299999999,Remainder of Louisiana,Remainder of Louisiana
189,16,047,16047,Gooding County,99999,99999,R,R,160,E330000US1699999999,E330000US1699999999,Remainder of Idaho,Remainder of Idaho
190,41,063,41063,Wallowa County,99999,99999,R,R,419,E330000US4199999999,E330000US4199999999,Remainder of Oregon,Remainder of Oregon
